TouristSpotId,Name,ImageUrl,SourcePageUrl,LicenseCode,LicenseUrl,Provider,Attribution,VerifiedAt,Notes
2131,박경리 기념관,https://upload.wikimedia.org/wikipedia/commons/6/6d/Park_Gyeongni_Memorial_1.jpg,https://commons.wikimedia.org/wiki/File:Park_Gyeongni_Memorial_1.jpg,CC0,https://creativecommons.org/publicdomain/zero/1.0/,Wikimedia Commons,사진: 95016maphack · CC0,2026-09-16,원본 파일 설명에 박경리기념관 명시·작가 직접 촬영·CC0 확인
24273,충렬사(통영),https://upload.wikimedia.org/wikipedia/commons/a/ad/%ED%86%B5%EC%98%81_%EC%B6%A9%EB%A0%AC%EC%82%AC.jpg,https://commons.wikimedia.org/wiki/File:%ED%86%B5%EC%98%81_%EC%B6%A9%EB%A0%AC%EC%82%AC.jpg,CC_BY_SA_3_0,https://creativecommons.org/licenses/by-sa/3.0/,Wikimedia Commons,사진: Db9023 · CC BY-SA 3.0,2026-09-16,원본 파일 설명에 통영 충렬사 입구 명시·작가 직접 촬영·CC BY-SA 3.0 확인
25530,태백 고생대 자연사박물관,https://upload.wikimedia.org/wikipedia/commons/f/fa/Taebaek_Paleozoic_Museum.jpg,https://commons.wikimedia.org/wiki/File:Taebaek_Paleozoic_Museum.jpg,CC_BY_4_0,https://creativecommons.org/licenses/by/4.0/,Wikimedia Commons,사진: Kjoonlee · CC BY 4.0,2026-09-16,원본 파일 설명에 태백고생대자연사박물관 명시·작가 직접 촬영·CC BY 4.0 확인
28321,서산 용현리 마애여래삼존상,https://upload.wikimedia.org/wikipedia/commons/7/79/Rock_carved_Buddha_triad_in_Seosan%2C_South_Korea.jpg,https://commons.wikimedia.org/wiki/File:Rock_carved_Buddha_triad_in_Seosan%2C_South_Korea.jpg,CC_BY_SA_2_0,https://creativecommons.org/licenses/by-sa/2.0/,Wikimedia Commons,사진: Brian Chandra · CC BY-SA 2.0,2026-09-16,원본 파일 설명에 서산 용현리 및 국보 84호 명시·Flickr 라이선스 검토 이력 확인
28780,거제 둔덕기성,https://upload.wikimedia.org/wikipedia/commons/6/67/Geoje_Dundeokgiseong.jpg,https://commons.wikimedia.org/wiki/File:Geoje_Dundeokgiseong.jpg,CC_BY_SA_4_0,https://creativecommons.org/licenses/by-sa/4.0/,Wikimedia Commons,사진: Asfreeas · CC BY-SA 4.0,2026-09-16,원본 파일 설명에 거제 둔덕기성 명시·촬영 위치 좌표·작가 직접 촬영 확인
32404,자계서원,https://upload.wikimedia.org/wikipedia/commons/c/c7/%EC%9E%90%EA%B3%84%EC%84%9C%EC%9B%90.jpg,https://commons.wikimedia.org/wiki/File:%EC%9E%90%EA%B3%84%EC%84%9C%EC%9B%90.jpg,KOGL_TYPE_1,https://www.kogl.or.kr/info/licenseType1.do,Wikimedia Commons,사진: 한국학중앙연구원·김연삼 · 공공누리 제1유형,2026-09-16,원본 파일과 한국민족문화대백과사전에서 청도군 이서면 자계서원 확인
37414,강릉올림픽뮤지엄,https://upload.wikimedia.org/wikipedia/commons/b/b2/Gangneung_Olympic_Museum_3.jpg,https://commons.wikimedia.org/wiki/File:Gangneung_Olympic_Museum_3.jpg,CC_BY_SA_4_0,https://creativecommons.org/licenses/by-sa/4.0/,Wikimedia Commons,사진: Christophe95 · CC BY-SA 4.0,2026-09-16,원본 파일 설명에 강릉 올림픽 박물관 명시·작가 직접 촬영·CC BY-SA 4.0 확인
28429,경주민속공예촌,https://tong.visitkorea.or.kr/cms/resource/70/1200970_image2_1.jpg,https://www.korearank.com/tour/tour_detail.php?uid=28939,TOURAPI_WEB_INDEX,,한국관광공사 대한민국 구석구석,사진 출처: 한국관광공사 대한민국 구석구석,2026-09-16,경주민속공예촌 색인 페이지 제목과 경주시 위치 일치·한국관광공사 원본 이미지 GET 206 확인
40067,결성농요농사박물관,https://tour.chungnam.go.kr/thumbnail/trsrcn/920_TRSRCN_202501140213087961.JPG,https://tour.chungnam.go.kr/prog/trsrcn/kor/sub02_01_02/view.do?trsrcnNo=1284,OFFICIAL_WEB,,충청남도 관광,사진 출처: 충청남도 관광,2026-09-16,충남관광 공식 페이지 대표이미지 대체텍스트와 박물관명 일치·이미지 GET 206 확인·재이용 조건 별도 확인 필요
44576,태장동왕녀복란태실비,https://tong.visitkorea.or.kr/cms/resource/27/2414727_image2_1.jpg,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=e60d9e4b-9713-47b9-8430-3af148c63ebf,TOURAPI_WEB_INDEX,,한국관광공사 대한민국 구석구석,사진 출처: 한국관광공사 대한민국 구석구석,2026-09-16,과거 대한민국 구석구석 검색 색인에서 장소명과 사진 URL 일치·현재 공식 관광지 페이지 존재·원본 이미지 GET 206 확인
26841,성북구립 최만린미술관,https://mediahub.seoul.go.kr/wp-content/uploads/editor/images/000542/1_1.jpg,https://opengov.seoul.go.kr/mediahub/21672416,OFFICIAL_WEB,,서울특별시 내 손안에 서울,사진: 이선미 · 출처: 서울특별시 내 손안에 서울,2026-09-16,서울시 공식 기사에서 이미지 대체텍스트가 정릉 성북구립 최만린미술관으로 명시·원본 이미지 GET 206 확인·재이용 조건 별도 확인 필요
